"","audio_name","video_name","rand_video","list","order","paste","bad_pairs"
"1","meeting_or_teaching","diverge","expand",1,"A","meeting_or_teaching_expand",0
"2","inviting_or_marrying","expand","drown",1,"A","inviting_or_marrying_drown",0
"3","pulling_or_joining","equal","reject",1,"A","pulling_or_joining_reject",0
"4","fighting_or_punching","touch","diverge",1,"A","fighting_or_punching_diverge",0
"5","grabbing_or_sharing","assist","quarrel",1,"A","grabbing_or_sharing_quarrel",0
"6","kissing_or_licking","divorce","assist",1,"A","kissing_or_licking_assist",0
"7","hugging_or_tickling","reject","touch",1,"A","hugging_or_tickling_touch",1
"8","hanging_or_connecting","quarrel","equal",1,"A","hanging_or_connecting_equal",0
"9","choosing_or_matching","drown","divorce",1,"A","choosing_or_matching_divorce",0
"10","pushing_or_separating","embrace","embrace",1,"A","pushing_or_separating_embrace",0
"11","meeting_or_teaching","diverge","embrace",2,"A","meeting_or_teaching_embrace",0
"12","inviting_or_marrying","expand","diverge",2,"A","inviting_or_marrying_diverge",0
"13","pulling_or_joining","equal","assist",2,"A","pulling_or_joining_assist",0
"14","fighting_or_punching","touch","equal",2,"A","fighting_or_punching_equal",0
"15","grabbing_or_sharing","assist","quarrel",2,"A","grabbing_or_sharing_quarrel",0
"16","kissing_or_licking","divorce","reject",2,"A","kissing_or_licking_reject",0
"17","hugging_or_tickling","reject","divorce",2,"A","hugging_or_tickling_divorce",0
"18","hanging_or_connecting","quarrel","touch",2,"A","hanging_or_connecting_touch",1
"19","choosing_or_matching","drown","drown",2,"A","choosing_or_matching_drown",0
"20","pushing_or_separating","embrace","expand",2,"A","pushing_or_separating_expand",0
"21","meeting_or_teaching","diverge","equal",3,"A","meeting_or_teaching_equal",0
"22","inviting_or_marrying","expand","embrace",3,"A","inviting_or_marrying_embrace",0
"23","pulling_or_joining","equal","diverge",3,"A","pulling_or_joining_diverge",0
"24","fighting_or_punching","touch","expand",3,"A","fighting_or_punching_expand",0
"25","grabbing_or_sharing","assist","touch",3,"A","grabbing_or_sharing_touch",1
"26","kissing_or_licking","divorce","divorce",3,"A","kissing_or_licking_divorce",0
"27","hugging_or_tickling","reject","assist",3,"A","hugging_or_tickling_assist",0
"28","hanging_or_connecting","quarrel","reject",3,"A","hanging_or_connecting_reject",0
"29","choosing_or_matching","drown","drown",3,"A","choosing_or_matching_drown",0
"30","pushing_or_separating","embrace","quarrel",3,"A","pushing_or_separating_quarrel",0
"31","meeting_or_teaching","diverge","reject",4,"A","meeting_or_teaching_reject",0
