"","audio_name","video_name","rand_video","list","order","paste","bad_pairs"
"1","hugging_or_tickling","reject","touch",1,"A","hugging_or_tickling_touch",1
"2","hanging_or_connecting","quarrel","touch",2,"A","hanging_or_connecting_touch",1
"3","grabbing_or_sharing","assist","touch",3,"A","grabbing_or_sharing_touch",1
"4","hanging_or_connecting","quarrel","touch",5,"A","hanging_or_connecting_touch",1
"5","pushing_or_separating","embrace","divorce",5,"A","pushing_or_separating_divorce",1
"6","hanging_or_connecting","quarrel","touch",11,"A","hanging_or_connecting_touch",1
"7","choosing_or_matching","drown","equal",12,"A","choosing_or_matching_equal",1
"8","hugging_or_tickling","reject","embrace",14,"A","hugging_or_tickling_embrace",1
"9","pushing_or_separating","embrace","diverge",16,"A","pushing_or_separating_diverge",1
"10","separating_or_pushing","embrace","divorce",1,"B","separating_or_pushing_divorce",1
"11","separating_or_pushing","embrace","divorce",3,"B","separating_or_pushing_divorce",1
"12","tickling_or_hugging","reject","touch",3,"B","tickling_or_hugging_touch",1
"13","separating_or_pushing","embrace","diverge",5,"B","separating_or_pushing_diverge",1
"14","tickling_or_hugging","reject","embrace",6,"B","tickling_or_hugging_embrace",1
"15","separating_or_pushing","embrace","divorce",7,"B","separating_or_pushing_divorce",1
"16","tickling_or_hugging","reject","embrace",7,"B","tickling_or_hugging_embrace",1
"17","punching_or_fighting","touch","quarrel",7,"B","punching_or_fighting_quarrel",1
"18","sharing_or_grabbing","assist","touch",8,"B","sharing_or_grabbing_touch",1
"19","marrying_or_inviting","expand","divorce",9,"B","marrying_or_inviting_divorce",1
"20","separating_or_pushing","embrace","diverge",11,"B","separating_or_pushing_diverge",1
"21","sharing_or_grabbing","assist","touch",16,"B","sharing_or_grabbing_touch",1
