audio_name,video_name,rand_video,list,order,paste,bad_pairs
meeting_or_teaching,diverge,expand,1,A,meeting_or_teaching_expand,0
inviting_or_marrying,expand,drown,1,A,inviting_or_marrying_drown,0
pulling_or_joining,equal,reject,1,A,pulling_or_joining_reject,0
fighting_or_punching,touch,diverge,1,A,fighting_or_punching_diverge,0
grabbing_or_sharing,assist,quarrel,1,A,grabbing_or_sharing_quarrel,0
kissing_or_licking,divorce,assist,1,A,kissing_or_licking_assist,0
hugging_or_tickling,reject,touch,1,A,hugging_or_tickling_touch,1
hanging_or_connecting,quarrel,equal,1,A,hanging_or_connecting_equal,0
choosing_or_matching,drown,divorce,1,A,choosing_or_matching_divorce,0
pushing_or_separating,embrace,embrace,1,A,pushing_or_separating_embrace,0
meeting_or_teaching,diverge,embrace,2,A,meeting_or_teaching_embrace,0
inviting_or_marrying,expand,diverge,2,A,inviting_or_marrying_diverge,0
pulling_or_joining,equal,assist,2,A,pulling_or_joining_assist,0
fighting_or_punching,touch,equal,2,A,fighting_or_punching_equal,0
grabbing_or_sharing,assist,quarrel,2,A,grabbing_or_sharing_quarrel,0
kissing_or_licking,divorce,reject,2,A,kissing_or_licking_reject,0
hugging_or_tickling,reject,divorce,2,A,hugging_or_tickling_divorce,0
hanging_or_connecting,quarrel,touch,2,A,hanging_or_connecting_touch,1
choosing_or_matching,drown,drown,2,A,choosing_or_matching_drown,0
pushing_or_separating,embrace,expand,2,A,pushing_or_separating_expand,0
meeting_or_teaching,diverge,equal,3,A,meeting_or_teaching_equal,0
inviting_or_marrying,expand,embrace,3,A,inviting_or_marrying_embrace,0
pulling_or_joining,equal,diverge,3,A,pulling_or_joining_diverge,0
fighting_or_punching,touch,expand,3,A,fighting_or_punching_expand,0
grabbing_or_sharing,assist,touch,3,A,grabbing_or_sharing_touch,1
kissing_or_licking,divorce,divorce,3,A,kissing_or_licking_divorce,0
hugging_or_tickling,reject,assist,3,A,hugging_or_tickling_assist,0
hanging_or_connecting,quarrel,reject,3,A,hanging_or_connecting_reject,0
choosing_or_matching,drown,drown,3,A,choosing_or_matching_drown,0
pushing_or_separating,embrace,quarrel,3,A,pushing_or_separating_quarrel,0
meeting_or_teaching,diverge,reject,4,A,meeting_or_teaching_reject,0
inviting_or_marrying,expand,expand,4,A,inviting_or_marrying_expand,0
pulling_or_joining,equal,equal,4,A,pulling_or_joining_equal,0
fighting_or_punching,touch,diverge,4,A,fighting_or_punching_diverge,0
grabbing_or_sharing,assist,assist,4,A,grabbing_or_sharing_assist,0
kissing_or_licking,divorce,touch,4,A,kissing_or_licking_touch,0
hugging_or_tickling,reject,divorce,4,A,hugging_or_tickling_divorce,0
hanging_or_connecting,quarrel,embrace,4,A,hanging_or_connecting_embrace,0
choosing_or_matching,drown,drown,4,A,choosing_or_matching_drown,0
pushing_or_separating,embrace,quarrel,4,A,pushing_or_separating_quarrel,0
meeting_or_teaching,diverge,assist,5,A,meeting_or_teaching_assist,0
inviting_or_marrying,expand,reject,5,A,inviting_or_marrying_reject,0
pulling_or_joining,equal,diverge,5,A,pulling_or_joining_diverge,0
fighting_or_punching,touch,equal,5,A,fighting_or_punching_equal,0
grabbing_or_sharing,assist,drown,5,A,grabbing_or_sharing_drown,0
kissing_or_licking,divorce,expand,5,A,kissing_or_licking_expand,0
hugging_or_tickling,reject,quarrel,5,A,hugging_or_tickling_quarrel,0
hanging_or_connecting,quarrel,touch,5,A,hanging_or_connecting_touch,1
choosing_or_matching,drown,embrace,5,A,choosing_or_matching_embrace,0
pushing_or_separating,embrace,divorce,5,A,pushing_or_separating_divorce,1
meeting_or_teaching,diverge,divorce,6,A,meeting_or_teaching_divorce,0
inviting_or_marrying,expand,expand,6,A,inviting_or_marrying_expand,0
pulling_or_joining,equal,drown,6,A,pulling_or_joining_drown,0
fighting_or_punching,touch,equal,6,A,fighting_or_punching_equal,0
grabbing_or_sharing,assist,quarrel,6,A,grabbing_or_sharing_quarrel,0
kissing_or_licking,divorce,assist,6,A,kissing_or_licking_assist,0
hugging_or_tickling,reject,reject,6,A,hugging_or_tickling_reject,0
hanging_or_connecting,quarrel,diverge,6,A,hanging_or_connecting_diverge,0
choosing_or_matching,drown,touch,6,A,choosing_or_matching_touch,0
pushing_or_separating,embrace,embrace,6,A,pushing_or_separating_embrace,0
meeting_or_teaching,diverge,quarrel,7,A,meeting_or_teaching_quarrel,0
inviting_or_marrying,expand,reject,7,A,inviting_or_marrying_reject,0
